PMT Simulation ID	PMT Installation ID	Breakout Board # (1=Curly, 2=Larry, 3=Moe)	Slot (0-47)	DIGITIZER (1-8)	CHANNEL (0-14)	Warm Cable Transit (ns)	PMT to BB Delay (ns)	PMT to BB Transit (ns)	BB to Digitizer Delay (ns)	BB to Digitizer Transit (ns)	Total Transit (ns)	DQM ID
250	M11	2	3	7	1	na	-5.5	135.5	0.06	7.46	143.0	91
304	M13	2	15	7	3	108.9	-1.1	139.9	-0.12	7.28	147.2	93
274	M22	2	27	7	5	105.7	-4	137	-0.1	7.3	144.3	95
248	M31	2	39	7	7	109.5	-0.25	140.75	0	7.4	148.2	97
302	M33	3	25	7	9	104.7	-5.4	135.6	-0.14	7.26	142.9	99
246	N11	3	15	7	11	106.5	-3.1	137.9	-0.08	7.32	145.2	101
300	N13	3	27	7	13	106.1	-3.55	137.45	-0.08	7.32	144.8	103
272	N22	2	7	8	1	107.3	-2.75	138.25	0	7.4	145.7	106
244	N31	2	19	8	14	106.9	-3.1	137.9	-0.12	7.28	145.2	119
298	N33	2	42	8	3	106.1	-3.9	137.1	0	7.4	144.5	108
242	O11	2	31	8	5	105.9	-3.7	137.3	-0.1	7.3	144.6	110
296	O13	2	43	8	7	109.7	0	141	0	7.4	148.4	112
270	O22	3	6	8	9	109.3	-0.6	140.4	-0.16	7.24	147.6	114
240	O31	3	19	8	11	107.9	-1.8	139.2	0	7.4	146.6	116
294	O33	3	30	8	13	109.5	0	141	-0.1	7.3	148.3	118
172	P11	2	0	5	1	107.3	-1.85	139.15	-0.1	7.3	146.5	61
226	P13	2	12	5	3	107.9	-1.5	139.5	-0.08	7.32	146.8	63
196	P22	2	24	5	5	108.9	-0.2	140.8	0	7.4	148.2	65
170	P31	2	36	5	7	107.7	-1.9	139.1	0	7.4	146.5	67
224	P33	3	0	5	9	105.9	-3.55	137.45	-0.22	7.18	144.6	69
168	Q11	3	12	5	11	110.3	0.8	141.8	-0.16	7.24	149.0	71
222	Q13	3	24	5	13	110.1	0.9	141.9	0	7.4	149.3	73
194	Q22	2	2	6	1	107.7	-1.95	139.05	-0.14	7.26	146.3	76
166	Q31	2	14	6	14	107.1	-2.2	138.8	-0.1	7.3	146.1	89
220	Q33	2	37	6	3	105.7	-3.85	137.15	0	7.4	144.6	78
164	R11	2	26	6	5	108.3	-1.3	139.7	-0.12	7.28	147.0	80
218	R13	2	38	6	7	109.7	0.35	141.35	0	7.4	148.8	82
192	R22	3	2	6	9	109.7	0	141	-0.16	7.24	148.2	84
162	R31	3	14	6	11	110.1	0.7	141.7	-0.1	7.3	149.0	86
216	R33	3	26	6	13	104.1	-5.55	135.45	-0.06	7.34	142.8	88
94	S11	2	10	3	1	107.7	-1.65	139.35	-0.1	7.3	146.7	31
148	S13	2	22	3	3	110.7	1.05	142.05	-0.12	7.28	149.3	33
118	S22	2	34	3	5	107.9	1.9	142.9	0	7.4	150.3	35
92	S31	2	46	3	7	108.5	-1.2	139.8	0	7.4	147.2	37
146	S33	3	34	3	9	108.5	-0.55	140.45	-0.08	7.32	147.8	39
