PMT Simulation ID	PMT Installation ID	Breakout Board 	Slot (0-47) 	DIGITIZER (1-8)	CHANNEL (0-14)	Warm Cable Transit (ns)	PMT to BB Delay (ns)	PMT to BB Transit (ns)	BB to Digitizer Delay (ns)	BB to Digitizer Transit (ns)	Total Transit (ns)]
17	A13	1	5	1	0	112.5	3.4	144.4	-0.08	7.32	151.7
71	A11	1	17	1	1	108.9	-0.4	140.6	-0.1	7.3	147.9
41	A22	1	29	1	2	111.1	1.8	142.8	-0.06	7.34	150.1
15	A33	1	41	1	3	109.1	-0.2	140.8	-0.1	7.3	148.1
69	A31	2	4	1	4	107.1	-2.3	138.7	-0.08	7.32	146.0
13	B13	2	16	1	5	110.7	2.8	143.8	-0.06	7.34	151.1
67	B11	2	28	1	6	107.7	-1.9	139.1	-0.1	7.3	146.4
65	B31	2	40	1	7	110.5	1.15	142.15	0.0	7.4	149.6
16	V11	2	5	1	8	107.5	-1.85	139.15	-0.12	7.28	146.4
70	V13	2	17	1	9	104.1	-5.55	135.45	-0.12	7.28	142.7
40	V22	2	29	1	10	104.3	-5.35	135.65	-0.1	7.3	143.0
14	V31	2	41	1	11	105.7	-3.7	137.3	0.0	7.4	144.7
68	V33	3	5	1	12	104.1	-5.5	135.5	-0.12	7.28	142.8
12	W11	3	17	1	13	108.5	-1.0	140.0	0.0	7.4	147.4
66	W13	3	29	1	14	108.7	-0.65	140.35	0.0	7.4	147.8
39	B22	1	7	2	0	107.5	-2.1	138.9	-0.1	7.3	146.2
11	B33	1	19	2	1	103.9	-5.5	135.5	-0.12	7.28	142.8
9	C13	1	31	2	2	107.5	4.4	145.4	-0.14	7.26	152.7
63	C11	1	43	2	3	109.1	-0.35	140.65	-0.08	7.32	148.0
37	C22	1	8	2	4	108.7	3.95	144.95	-0.12	7.28	152.2
7	C33	1	20	2	5	104.5	3.15	144.15	-0.08	7.32	151.5
61	C31	1	32	2	6	104.1	1.65	142.65	-0.12	7.28	149.9
64	W33	1	44	2	7	103.9	-5.55	135.45	-0.08	7.32	142.8
38	W22	2	8	2	8	107.5	-1.85	139.15	-0.08	7.32	146.5
10	W31	2	20	2	9	111.7	2.35	143.35	-0.1	7.3	150.7
8	X11	2	32	2	10	109.1	10.3	151.3	-0.08	7.32	158.6
62	X13	2	44	2	11	109.7	4.05	145.05	0.0	7.4	152.5
36	X22	3	8	2	12	104.1	-0.35	140.65	-0.1	7.3	148.0
6	X31	3	20	2	13	107.1	3.05	144.05	-0.06	7.34	151.4
60	X33	3	32	2	14	105.1	3.85	144.85	0.0	7.4	152.3
95	D13	1	9	3	0	110.7	1.0	142.0	0.0	7.4	149.4
149	D11	1	21	3	1	108.9	-2.3	138.7	-0.1	7.3	146.0
119	D22	1	33	3	2	105.5	-4.1	136.9	-0.1	7.3	144.2
93	D33	1	45	3	3	110.3	0.7	141.7	0.0	7.4	149.1
147	D31	2	9	3	4	108.3	-1.4	139.6	0.0	7.4	147.0
91	E13	2	21	3	5	105.5	-3.95	137.05	-0.12	7.28	144.3
145	E11	2	33	3	6	105.3	-4.05	136.95	0.0	7.4	144.4
143	E31	2	45	3	7	108.1	-1.6	139.4	0.0	7.4	146.8
94	S11	2	10	3	8	107.7	-1.65	139.35	-0.1	7.3	146.7
148	S13	2	22	3	9	110.7	1.05	142.05	-0.12	7.28	149.3
118	S22	2	34	3	10	107.9	1.9	142.9	0.0	7.4	150.3
92	S31	2	46	3	11	108.5	-1.2	139.8	0.0	7.4	147.2
146	S33	3	9	3	12	108.5	-0.55	140.45	-0.08	7.32	147.8
90	T11	3	21	3	13	104.5	-5.15	135.85	0.0	7.4	143.3
144	T13	3	33	3	14	105.9	-3.25	137.75	0.0	7.4	145.2
117	E22	3	10	4	0	107.5	-2.1	138.9	0.0	7.4	146.3
89	E33	1	22	4	1	105.5	-3.75	137.25	-0.06	7.34	144.6
87	F13	1	34	4	2	109.7	0.0	141.0	-0.08	7.32	148.3
141	F11	1	46	4	3	108.5	3.15	144.15	-0.1	7.3	151.5
115	F22	1	11	4	4	105.9	0.8	141.8	-0.12	7.28	149.1
85	F33	1	23	4	5	108.7	11.55	152.55	-0.14	7.26	159.8
139	F31	1	35	4	6	104.5	-1.9	139.1	-0.14	7.26	146.4
142	T33	1	47	4	7	111.7	2.0	143.0	0.0	7.4	150.4
116	T22	2	11	4	8	109.9	2.75	143.75	-0.08	7.32	151.1
88	T31	2	23	4	9	107.3	-2.05	138.95	-0.08	7.32	146.3
86	U11	2	35	4	10	109.9	0.0	141.0	0.0	7.4	148.4
140	U13	2	47	4	11	103.9	0.05	141.05	0.0	7.4	148.5
114	U22	3	11	4	12	103.9	-0.4	140.6	-0.12	7.28	147.9
84	U31	3	23	4	13	104.5	1.45	142.45	0.0	7.4	149.9
138	U33	3	35	4	14	103.7	-1.55	139.45	-0.08	7.32	146.8
173	G13	1	0	5	0	107.7	-1.55	139.45	-0.16	7.24	146.7
227	G11	1	12	5	1	105.5	-4.0	137.0	-0.16	7.24	144.2
197	G22	1	24	5	2	106.7	-3.1	137.9	-0.18	7.22	145.1
171	G33	1	36	5	3	112.1	2.55	143.55	-0.1	7.3	150.9
225	G31	1	1	5	4	111.7	2.4	143.4	-0.14	7.26	150.7
169	H13	1	13	5	5	109.1	-0.3	140.7	-0.12	7.28	148.0
223	H11	1	25	5	6	107.7	-1.75	139.25	-0.16	7.24	146.5
221	H31	1	37	5	7	108.7	-1.15	139.85	-0.1	7.3	147.2
172	P11	2	0	5	8	107.3	-1.85	139.15	-0.1	7.3	146.5
226	P13	2	12	5	9	107.9	-1.5	139.5	-0.08	7.32	146.8
196	P22	2	24	5	10	108.9	-0.2	140.8	0.0	7.4	148.2
170	P31	2	36	5	11	107.7	-1.9	139.1	0.0	7.4	146.5
224	P33	3	0	5	12	105.9	-3.55	137.45	-0.22	7.18	144.6
168	Q11	3	12	5	13	110.3	0.8	141.8	-0.16	7.24	149.0
222	Q13	3	24	5	14	110.1	0.9	141.9	0.0	7.4	149.3
195	H22	1	2	6	0	105.9	-3.9	137.1	-0.14	7.26	144.4
167	H33	1	14	6	1	108.7	-0.95	140.05	-0.12	7.28	147.3
165	I13	1	26	6	2	107.9	-1.9	139.1	-0.1	7.3	146.4
219	I11	1	38	6	3	110.7	1.25	142.25	0.0	7.4	149.7
193	I22	2	1	6	4	111.5	1.7	142.7	0.0	7.4	150.1
163	I33	2	13	6	5	107.7	-1.3	139.7	-0.1	7.3	147.0
217	I31	2	25	6	6	107.9	-1.15	139.85	-0.12	7.28	147.1
220	Q33	2	37	6	7	105.7	-3.85	137.15	0.0	7.4	144.6
194	Q22	2	2	6	8	107.7	-1.95	139.05	-0.14	7.26	146.3
166	Q31	2	14	6	9	107.1	-2.2	138.8	-0.1	7.3	146.1
164	R11	2	26	6	10	108.3	-1.3	139.7	-0.12	7.28	147.0
218	R13	2	38	6	11	109.7	0.35	141.35	0.0	7.4	148.8
