Error: Unsupported GDML Tag Used :gdml_simple_extension. Please Check Geometry/Schema.
Using default pedestal values
begin loading voxelized TH3s...
...finished loading TH3s
0 -213.75 -135 20.2542 
1 213.75 -135 20.2542 
2 -213.75 0 20.2542 
3 213.75 0 20.2542 
4 -213.75 135 20.2542 
5 213.75 135 20.2542 
6 -213.4 -175 27.8742 
7 213.4 -175 27.8742 
8 -213.4 -95 27.8742 
9 213.4 -95 27.8742 
10 -213.4 -40 27.8742 
11 213.4 -40 27.8742 
12 -213.4 40 27.8742 
13 213.4 40 27.8742 
14 -213.4 95 27.8742 
15 213.4 95 27.8742 
16 -213.4 175 27.8742 
17 213.4 175 27.8742 
18 -213.75 -135 35.4942 
19 213.75 -135 35.4942 
20 -213.75 0 35.4942 
21 213.75 0 35.4942 
22 -213.75 135 35.4942 
23 213.75 135 35.4942 
24 -213.75 -175 50.2542 
25 213.75 -175 50.2542 
26 -213.75 -95 50.2542 
27 213.75 -95 50.2542 
28 -213.75 -40 50.2542 
29 213.75 -40 50.2542 
30 -213.75 40 50.2542 
31 213.75 40 50.2542 
32 -213.75 95 50.2542 
33 213.75 95 50.2542 
34 -213.75 175 50.2542 
35 213.75 175 50.2542 
36 -213.4 -135 57.8742 
37 213.4 -135 57.8742 
38 -213.4 0 57.8742 
39 213.4 0 57.8742 
40 -213.4 135 57.8742 
41 213.4 135 57.8742 
42 -213.75 -175 65.4942 
43 213.75 -175 65.4942 
44 -213.75 -95 65.4942 
45 213.75 -95 65.4942 
46 -213.75 -40 65.4942 
47 213.75 -40 65.4942 
48 -213.75 40 65.4942 
49 213.75 40 65.4942 
50 -213.75 95 65.4942 
51 213.75 95 65.4942 
52 -213.75 175 65.4942 
53 213.75 175 65.4942 
54 -213.75 -135 80.2542 
55 213.75 -135 80.2542 
56 -213.75 0 80.2542 
57 213.75 0 80.2542 
58 -213.75 135 80.2542 
59 213.75 135 80.2542 
60 -213.4 -175 87.8742 
61 213.4 -175 87.8742 
